RouteName;Direction;TFLSequence;BusStopCode;FirstLast
249;1;11;50136;
H91;1;3;49969;
608;2;1;75692;FIRST
W16;1;1;50817;FIRST
E3;2;12;56520;
N91;1;13;50405;
13;1;31;51842;
20;1;16;59576;
352;2;15;75491;
191;1;29;47274;
N26;2;8;49571;
269;1;42;72217;
252;1;6;71598;
91;1;26;75945;
19;2;18;54936;
220;1;19;72325;
N68;2;21;52185;
316;2;1;71112;FIRST
36;2;43;54273;
124;1;31;76777;
153;2;29;74153;
N74;1;14;52469;
82;1;37;47715;
492;1;51;72224;
124;1;28;49099;
474;1;41;72176;
K5;2;18;52934;
19;2;15;52053;
283;2;27;53696;
382;1;6;56828;
300;1;23;57032;
N38;1;5;71336;
191;2;11;53684;
N74;1;47;53720;
476;1;41;72626;
N16;1;47;48433;
634;1;30;57602;
440;1;41;52579;
N1;1;32;52778;
73;2;43;76389;LAST
496;2;35;74506;
603;2;6;57467;
326;1;4;76990;
629;2;36;47410;
14;2;9;47194;
300;2;6;56266;
188;1;44;71098;
71;1;31;71493;
669;2;39;73732;
E6;1;13;74691;
148;1;16;77715;
W15;1;25;74659;
272;1;9;57451;
387;1;14;53794;
330;2;16;58359;
252;2;32;54343;
82;1;45;53906;
110;1;9;54189;
216;1;43;49773;
309;2;28;57377;LAST
485;1;9;50703;
N205;2;21;75103;
432;2;26;76213;
N15;2;29;75713;
174;2;52;54605;
154;1;19;72395;
175;1;18;48861;
298;1;29;54656;
T32;2;1;55576;FIRST
162;2;39;53688;
N21;2;80;47105;
N3;2;49;53678;
H11;2;3;55241;
679;1;15;58092;
16;1;15;74930;
364;1;9;91491;
319;1;31;57051;
N136;1;90;74131;
356;2;9;77540;
452;2;22;50728;
94;1;28;51349;
K5;2;33;50516;
201;2;32;55675;
339;1;17;91457;
N44;2;8;75350;
419;2;16;92037;
P12;2;14;73566;
481;2;14;51888;
490;2;14;47075;
280;1;31;77909;
414;2;28;75456;
277;1;39;58378;
N155;2;16;71244;
70;1;9;51256;
272;1;1;52304;FIRST
699;2;31;73085;
32;2;19;50483;
